model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
regnetv_040.ra3_in1k,224,82.448,17.552,96.204,3.796,20.64,0.95,bicubic
resnext101_64x4d.c1_in1k,224,82.446,17.554,95.92,4.08,83.46,0.95,bicubic
mvitv2_tiny.fb_in1k,224,82.408,17.592,96.15,3.85,24.17,0.9,bicubic
coatnet_bn_0_rw_224.sw_in1k,224,82.394,17.606,96.194,3.806,27.44,0.95,bicubic
coatnet_0_rw_224.sw_in1k,224,82.394,17.606,95.844,4.156,27.44,0.95,bicubic
repvit_m1_5.dist_300e_in1k,224,82.382,17.618,96.026,3.974,14.64,0.95,bicubic
coat_small.in1k,224,82.376,17.624,96.214,3.786,21.69,0.9,bicubic
sequencer2d_s.in1k,224,82.336,17.664,96.032,3.968,27.65,0.875,bicubic
regnety_040.ra3_in1k,224,82.316,17.684,96.076,3.924,20.65,0.95,bicubic
mixer_b16_224.miil_in21k_ft_in1k,224,82.31,17.69,95.714,4.286,59.88,0.875,bilinear
vit_relpos_medium_patch16_rpn_224.sw_in1k,224,82.308,17.692,95.982,4.018,38.73,0.9,bicubic
convnext_nano.in12k_ft_in1k,224,82.306,17.694,96.338,3.662,15.59,0.95,bicubic
coat_lite_small.in1k,224,82.302,17.698,95.834,4.166,19.84,0.9,bicubic
resnet152.tv2_in1k,224,82.294,17.706,96.0,4.0,60.19,0.965,bilinear
convit_base.fb_in1k,224,82.294,17.706,95.938,4.062,86.54,0.875,bicubic
vit_srelpos_medium_patch16_224.sw_in1k,224,82.25,17.75,95.928,4.072,38.74,0.9,bicubic
convnext_tiny_hnf.a2h_in1k,224,82.23,17.77,95.86,4.14,28.59,0.95,bicubic
vit_base_patch16_rpn_224.sw_in1k,224,82.216,17.784,95.998,4.002,86.54,0.9,bicubic
poolformerv2_m36.sail_in1k,224,82.214,17.786,95.896,4.104,56.08,1.0,bicubic
pvt_v2_b2_li.in1k,224,82.202,17.798,96.11,3.89,22.55,0.9,bicubic
ecaresnet101d.miil_in1k,224,82.186,17.814,96.062,3.938,44.57,0.875,bicubic
focalnet_tiny_lrf.ms_in1k,224,82.174,17.826,95.948,4.052,28.65,0.9,bicubic
efficientvit_b2.r224_in1k,224,82.162,17.838,95.71,4.29,24.33,0.95,bicubic
resnext50_32x4d.fb_swsl_ig1b_ft_in1k,224,82.162,17.838,96.224,3.776,25.03,0.875,bilinear
efficientformerv2_s2.snap_dist_in1k,224,82.15,17.85,95.912,4.088,12.71,0.95,bicubic
focalnet_tiny_srf.ms_in1k,224,82.144,17.856,95.97,4.03,28.43,0.9,bicubic
swin_s3_tiny_224.ms_in1k,224,82.128,17.872,95.958,4.042,28.33,0.9,bicubic
poolformer_m36.sail_in1k,224,82.104,17.896,95.698,4.302,56.17,0.95,bicubic
visformer_small.in1k,224,82.096,17.904,95.876,4.124,40.22,0.9,bicubic
pvt_v2_b2.in1k,224,82.094,17.906,95.956,4.044,25.36,0.9,bicubic
convnext_tiny.fb_in1k,224,82.066,17.934,95.854,4.146,28.59,0.875,bicubic
tresnet_xl.miil_in1k,224,82.064,17.936,95.93,4.07,78.44,0.875,bilinear
coatnet_rmlp_nano_rw_224.sw_in1k,224,82.062,17.938,95.87,4.13,15.15,0.9,bicubic
resnetv2_101.a1h_in1k,224,82.042,17.958,95.866,4.134,44.54,0.95,bicubic
convnextv2_nano.fcmae_ft_in22k_in1k,224,82.038,17.962,96.174,3.826,15.62,0.875,bicubic
coatnext_nano_rw_224.sw_in1k,224,81.998,18.002,95.888,4.112,14.7,0.9,bicubic
resnet152.a1_in1k,224,81.998,18.002,95.294,4.706,60.19,0.95,bicubic
resnext101_32x8d.tv2_in1k,176,81.99,18.01,95.716,4.284,88.79,0.875,bilinear
xcit_small_12_p16_224.fb_in1k,224,81.982,18.018,95.814,4.186,26.25,1.0,bicubic
deit_base_patch16_224.fb_in1k,224,81.98,18.02,95.742,4.258,86.57,0.9,bicubic
gcvit_xtiny.in1k,224,81.968,18.032,95.966,4.034,19.98,0.875,bicubic
resnet101.a1h_in1k,224,81.95,18.05,95.76,4.24,44.55,0.95,bicubic
vit_base_patch32_clip_224.openai_ft_in1k,224,81.946,18.054,95.974,4.026,88.22,0.9,bicubic
regnety_032.ra_in1k,224,81.942,18.058,95.97,4.03,19.44,0.95,bicubic
hgnet_tiny.ssld_in1k,224,81.94,18.06,96.114,3.886,14.74,0.965,bicubic
